name,apCost,description,category,extra,role,order
familiar,2,"You summon a tiny spectral creature, like a bird, a lizard, a butterfly, or anything else of a comparable size. The familiar is the avatar of a random spirit creature from your world. It becomes your ally and will follow your instructions. The Guide chooses the creature's background and personality, and speaks for them. The familiar
may choose to leave you if they are mistreated.
<br><br>
The familiar cannot move out of your sight. It can pick up and move objects no larger than a coin purse and no heavier than 10 pounds. It can't attack.<br><br>
Your familiar has 4 HP. It is invulnerable to non-magical harm. If it is reduced to 0 HP, it vanishes, and your bond is broken. You may only have one familiar at a time.",conjuration,,WIZARD,1
pegasus cloak,3,You bestow any number of nearby creatures with illusory feather cloaks for the next hour. Affected creatures hover 1 meter above the ground and can move by gliding in the direction they want to travel. They will also fall gently until they are hovering 1 meter above ground.,conjuration,,WIZARD,2
force field,3,"You create a paper-thin wall
of force capable of preventing non- magical creatures and objects from passing through. You may choose whether the field blocks passage on one or both sides. The field can be in any shape you want, but it must fit inside
of a cube that’s 10 meters on all sides. The force field has 20 hit points and dissolves at 0 HP.<br><br>
You can make the field stationary or move it telepathically. (For example, you might create an invisible platform that glides beneath you as you walk.)",conjuration,,WIZARD,3
conjure,3,"You imagine an object, causing it to appear somewhere nearby. You can summon any object that meets these guidelines:
<ul>
<li> It can't be larger than an elephant. </li>
<li> It can't have magical effects.</li>
</ul>
You must tell the Guide which object you want to summon. Then, the Guide thinks of a related object and gives you its name in secret. (For example, if you want to summon a lockpick, the Guide may tell you to draw a door.)<br><br>
Set a timer. You have 1 minute to draw the secret object. When time is up, show it to your party. Your friends can discuss what they see, but they can only submit one guess. Don't give the party clues.<br><br>
If they guess correctly, the item appears. If they guess closely but not exactly, the item appears, but it has a defect. If they're totally wrong, a random misshapen item appears.",conjuration,,WIZARD,4
blink,1,"You teleport to a location of your choice nearby. You vanish, leaving behind a gentle gust of wind and then instantaneously reappear nearby.",planeshifting,,WIZARD,1
gate,0,"<div>
  <span class=""ap"">1</span> <strong>bind.</strong> You bind yourself to the room you are currently in. It must belong to you or a member of the party. This is your Circle. You may only bind yourself to one at a time.
</div> 
<div>
  <span class=""ap"">3</span> <strong>gate.</strong> Snap your fingers. Any willing party members nearby are instantly teleported to your Circle.
</div> ",planeshifting,VAR,WIZARD,2
portal,3,"You conjure a portal of any shape and orientation that is no larger than a door. It appears at a location of your choice nearby. The portal looks like
a window to whatever is on the other side, and its edges crackle and spark with energy. When you cast the spell again, the new portal automatically connects to the previous one. The portals remain open until you choose to close them. Anyone that can fit may pass through them.",planeshifting,,WIZARD,3
dark door,2,"You knock on a door, making
it a temporary portal to a specific shadow plane. You must be aware of the shadow plane's existence to create a door to it. (For example, if you see
a creature with a Cosmic Purse, you can open a door to the purse's shadow plane.) When you open the door, you can see inside the plane, and you and your allies may enter it. If the door is closed, the portal vanishes. (If the door closes behind you, you become trapped in the shadow plane and must escape with other means, like with Gate.)",planeshifting,,WIZARD,4
teleport,5,"Snap your fingers.
5 You and any willing creatures nearby vanish instantly, leaving behind a small shockwave of air in your wake, and are teleported to any place you choose.
<div class=""roll-list"">
20: Everyone arrives safely. You recover the spell's full AP cost.
<hr/>
11-19: You all arrive safely. Good for you.<hr/>
6-10: You all arrive. Choose one: you take 7 damage from turbulence, or a magic item you are carrying is destroyed.<hr/>
2-5: The party arrives safely, but nobody else does. You don't know where they went. You lose an item you are carrying.<hr/>
1: The spell fails. Party members are lacerated by an arcane explosion
and are each hit for 5 HP. All other travelers are torn apart in a gruesome spectacle. (They die.)
</div>",planeshifting,ROLL,WIZARD,5
no,2,"By uttering the word ""no,"" you attempt to neutralize a spell that you see an NPC casting nearby. You must declare you are using this ability before the Guide describes the consequences of the spell.
<div class=""roll-list"">
20: The spell is violently canceled and its caster is hit for 1 HP.<hr/>
11-19: The spell is stopped before it's cast.<hr/>
6-10: The spell misses and hits another nearby creature or target.<hr/>
2-5: The spell takes effect normally.<hr/>
1: You accidentally amplify the spell. If it is a harmful spell, the damage is doubled.</div>",magecraft,ROLL,WIZARD,1
reflect,3,"You produce a counterspell, reflecting a spell that targets you. You must declare that you are reflecting the spell as soon as the Guide says that you are being targeted by a spell.
<div class=""roll-list"">11-20: The caster is hit by their own spell, instead of you.<hr/>
6-10: The spell reflects off of you but misses its caster.<hr/>
1-5: The spell reflects off of you but hits a nearby party member instead.</div>",magecraft,ROLL,WIZARD,2
enscroll,2,"You create a Spell Scroll (p. 145) that can be used to produce a spell that you know. You must add the AP cost of the spell you are inscribing to the cost of Enscroll. For example, if you create
a magic scroll that can produce your Teleport spell, you must spend 7 AP.<br><br>
You must spend a short time in a safe and quiet place to prepare the scroll. You decide what is written on it. The user of the scroll must read the words aloud to activate the spell it contains.",magecraft,,WIZARD,3
spellsteal,3,"After you observe a creature nearby casting a spell, you may briefly enter their mind to glimpse its nature. You learn the spell and can produce it once.<br><br>
Your theft gives you the minimum know-how to produce the spell, but you have not mastered it. The Guide may not fully reveal the effects or potential consequences of some stolen spells.<br><br>
Once you cast or Enscroll the stolen spell, you forget the spell and cannot use it again.",magecraft,,WIZARD,4
sense magic,,"<div>
  <span class=""ap"">0</span> You get a gentle tingling feeling
in your bones whenever you are near a powerful source of magic. You're aware that magic is in the area, but not its location or nature.
</div> 
<div>
  <span class=""ap"">1</span> You discern the location of nearby magic and its general nature. For instance, the Guide may reveal that you sense a magic sword, a cursed door, or an illusion.
</div> 
<div>
  <span class=""ap"">2</span> You study the precise nature of nearby magic, learning its specific effects. If you use this ability to study a mysterious magic item, its name and effects are revealed.
</div> ",projection,,WIZARD,1
aura's silvery broadcast,,You broadcast a message up to 20 words in length. Each creature within 1 kilometer hears the message clearly in a voice that sounds pleasant to them. The sound seems to originate from every direction and background noises are muted for the duration.,projection,,WIZARD,2
scry,,"Once per game session, you may flash forward in time to glimpse your actions in the near future. For the next hour, you can avert failure by redoing a roll of the die. You must take the result of the new roll.<br><br>
Or you may ask the Guide to reveal a situation you are likely to encounter based on the current trajectory of your choices. You may ask the Guide questions about what you sense from this glimpse of the future, but the answers may be vague, as if you are trying to find detail in a watercolor painting.",projection,,WIZARD,3
see,,"For the next hour, you can see through all magical deceptions. See reveals the world to you in several ways:
<ul>
<li> You see anything that's invisible.</li>
<li>You know if something is an illusion.</li>
<li> You may see the true form of anything that has been altered by magic.</li>
</ul>",projection,,WIZARD,4
find,,"<div>
  <span class=""ap"">3</span> <strong>find.</strong> You close your eyes and
attempt to locate any object you have held before, as long as it is in your current universe. You discover its exact location.
</div> 
<div>
  <span class=""ap"">3</span> <strong>recall.</strong> Immediately after you have used Find to locate an item, you may recall it for an additional 3 AP. The item instantly vanishes from its present location and appears in your hands.
</div> ",projection,,WIZARD,5
speak,1,"For the next minute, you may speak silently into the mind of a nearby creature. Your lips move normally as if you were speaking aloud, but no sound comes out. Instead, the target of the spell hears your voice inside their head. The creature can tell that your voice is inside their mind.",trickery,,WIZARD,1
pinch,2,"You imbue your fingers with supernatural strength. For the next minute, you can effortlessly pick up and move objects of any weight, as long as you can reasonably handle their size and shape. For instance, you might pinch the shirt of a bully and raise them up in the air or casually move a giant anvil.",trickery,,WIZARD,2
stretch,0,"<div>
  <span class=""ap"">2</span> Choose a nearby creature or object that is no smaller than an ant and no larger than a horse. You cause it to instantly enlarge or shrink. It can grow up to twice its size or shrink up to half of its size. The target's weight increases or decreases proportionally, but its
hit points do not change. You cannot enlarge something beyond the confines of the space it's in.
</div>
 <div>
  <span class=""ap"">4</span> You may stretch an object no smaller than an ant and no larger than an elephant.
</div> 
",trickery,VAR,WIZARD,3
undo,0,"You speak a word of power, reversing the fate of a nearby object. The spell cannot be used to affect living things.<br><br>
The thing you are undoing must be the discrete result of another creature's effort. For example, you might undo
a creature's shoelaces, unthread a garment, cause a piece of furniture
to fall apart, or revert a sculpture to a block of marble..<br><br>
Choose how much effort to undo each time you use this spell:
 <div>
  <span class=""ap"">1</span> Up to 1 minute of effort.
</div> 
 <div>
  <span class=""ap"">2</span> Up to 1 day of effort.
</div> 
 <div>
  <span class=""ap"">3</span> Up to 1 week of effort. 
</div> 
 <div>
  <span class=""ap"">3</span> Any amount of effort.
</div> 
",trickery,VAR,WIZARD,4
rift,5,"You summon a magnificent gateway that contains a portal to your current universe's nexus in The Rift. (The Rift is a special location in the omniverse, which you can read more about on p. 33) Each universe's gateway is unique; it might be a stone archway, an iron gate, a humble wooden door, or something else. The Guide imagines what this gateway looks like.<br><br>
This is an extraordinarily difficult portal to maintain, and it only remains open for 1 minute. Once opened, any creatures or objects that can fit through the portal may pass through it.<br><br>
While you may summon access to the gateway anywhere, the exit point remains in the same location in The Rift.",legendary,,WIZARD,1
transcendence,5,"You embark on an incredible quest for knowledge within living things. For the next minute, you enter a trance as your consciousness expands, touching all sentient beings within 1,000 kilometers of you.<br><br>
The ordeal is staggering. You immediately sense time and personal identity at a scale beyond your normal understanding. You absorb the simultaneous experiences of others — possibly from billions of beings.<br><br>
Your knowledge quest must be limited to a subject that you could reasonably come to understand by seeing through the eyes of others. For instance, you may set out to learn the true history of a species, identify who and where the most powerful being is, discover the location of a secret object, or become generally accustomed to the beliefs and practices of a culture. You cannot use the spell for things that one mind could not reasonably possess (for instance, by asking for “all the world’s knowledge""). The Guide will decide if your request is reasonable.<br><br>
Beware. Entering the minds of others is risky.<br><br>
You may experience unforeseen consequences...",legendary,,WIZARD,2
planecraft,0,"You conjure a shadow plane. Its contents are completely illusory and cannot leave the plane. You can fill it with anything you can imagine, except sentient beings.<br><br>
The things inside may look and feel real, but they are ultimately mirages. Creatures cannot be harmed by things you put in this plane.
 <div>
  <span class=""ap"">2</span> You conjure a tiny plane no larger than a mansion or castle.
</div> 
 <div>
  <span class=""ap"">4</span> You conjure a plane no larger than the size of a village.
</div> 
 <div>
  <span class=""ap"">6</span> You conjure a plane with no size limit.
</div> 
 <div>
  <span class=""ap"">8</span> You conjure a plane with no size limit and no safeguards. Creatures can now be harmed by the things you put in the plane. (That includes you.)
</div> 
",legendary,VAR,WIZARD,3
create,5,"You tap raw magic, converting its energy into a single, non-magical, inanimate object that fits inside a cube no larger than 5 meters in any dimension. You create the object perfectly and it is real in every sense. You may create anything that fits in the space, including precious gems, flawless weapons, or exact replicas of other objects.<br><br>
This spell requires perfection and is extremely taxing on your ability as
a Wizard. Keep track of how many times you have cast the spell on
your inventory sheet. The spell's cost increases by 1 AP each time you use it.",legendary,,WIZARD,4
